,Cod_UF,Nome_da_UF,Populacao
0,12,Acre,755819
0,27,Alagoas,3160386
0,13,Amazonas,3580219
0,16,Amapá,695114
0,29,Bahia,14253591
0,23,Ceará,8560104
0,53,Distrito Federal,2655387
0,32,Espírito Santo,3597883
0,52,Goiás,6142791
0,21,Maranhão,6710142
0,31,Minas Gerais,19904366
0,50,Mato Grosso do Sul,2502991
0,51,Mato Grosso,3126556
0,15,Pará,7743274
0,25,Paraiba,3788900
0,26,Pernambuco,8970262
0,22,Piauí,3139316
0,41,Paraná,10593860
0,33,Rio de Janeiro,16390843
0,24,Rio Grande do Norte,3220618
0,11,Rondônia,1594940
0,14,Roraima,456521
0,43,Rio Grande do Sul,10795312
0,42,Santa Catarina,6322098
0,28,Sergipe,2103991
0,35,São Paulo,20131104
0,35,São Paulo,21976201
0,17,Tocantins,1396248
